THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT,Year
35,VIETNAM (SOUTH),VNAF,1975-01-04,642811,SEADAB,CH-47,BIEN HOA,,,,0,800.0,,,0,CH47,CH47,,,,20,53.0,MAINTENANCE,0785,1,,D,237HS,,,SOUTH VIETNAM,,,,,UNIT: 237HS - CALLSIGN:,,27131210,NONKINETIC,-1,-1,,,,800.0,0,1975
87,VIETNAM (SOUTH),VNAF,1975-02-10,642863,SEADAB,UH-1,NHA TRANG,,,,28,800.0,CARGO (TONS),,0,UH1,UH1,,,,38,48.0,LOG TROOP CARRYING,0811,1,,D,219HS,,,SOUTH VIETNAM,,,,,UNIT: 219HS - CALLSIGN:,,27131262,NONKINETIC,-1,-1,,,,800.0,0,1975
134,KOREA (SOUTH),KAF,1975-02-14,647247,SEADAB,T-28,PONCHENTONG,,,,0,200.0,,,0,T28,T28,,,,210,54.0,AIRBORNE ALERT,K003,14,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,27135646,NONKINETIC,-1,-1,,,,200.0,0,1975
368,,OTHER,1975-04-04,647481,SEADAB,DC-8,PONCHENTONG,,,,0,800.0,,,0,DC8,DC8,,,,41,50.0,ADMINISTRATIVE,C105,10,,D,SBW,,,SOUTH VIETNAM,,,,,UNIT: SBW - CALLSIGN:,,27135880,NONKINETIC,-1,-1,,,,800.0,0,1975
385,UNITED STATES OF AMERICA,USAF,1975-04-01,647498,SEADAB,RF-4,UDORN AB,,,,0,418.0,,,0,RF4,RF4,,,ATLANTA1,29,20.0,PHOTO RECCE,3001,1,,D,432TFW,,,CAMBODIA,,,,,UNIT: 432TFW - CALLSIGN: ATLANTA1,,27135897,NONKINETIC,-1,-1,,,,418.0,0,1975
613,VIETNAM (SOUTH),VNAF,1975-03-07,647726,SEADAB,UH-1,PHU CAT,,,,104,800.0,PASSENGERS,,0,UH1,UH1,,,,115,50.0,ADMINISTRATIVE,0755,1,,D,243HS,,,SOUTH VIETNAM,,,,,UNIT: 243HS - CALLSIGN:,,27136125,NONKINETIC,-1,-1,,,,800.0,0,1975
614,VIETNAM (SOUTH),VNAF,1975-03-12,647727,SEADAB,UH-1,CAN THO,,,,67,800.0,PASSENGERS,,0,UH1,UH1,,,,55,48.0,LOG TROOP CARRYING,0717,1,,D,255HS,,,SOUTH VIETNAM,,,,,UNIT: 255HS - CALLSIGN:,,27136126,NONKINETIC,-1,-1,,,,800.0,0,1975
637,VIETNAM (SOUTH),VNAF,1975-04-03,647750,SEADAB,UH-1,CAN THO,,,,10,800.0,PASSENGERS,,0,UH1,UH1,,,,20,50.0,ADMINISTRATIVE,0753,1,,D,227HS,,,SOUTH VIETNAM,,,,,UNIT: 227HS - CALLSIGN:,,27136149,NONKINETIC,-1,-1,,,,800.0,0,1975
657,VIETNAM (SOUTH),VNAF,1975-02-12,647770,SEADAB,UH-1,BIEN HOA,,,,6,800.0,PASSENGERS,,0,UH1,UH1,,,,80,48.0,LOG TROOP CARRYING,0719,1,,D,221HS,,,SOUTH VIETNAM,,,,,UNIT: 221HS - CALLSIGN:,,27136169,NONKINETIC,-1,-1,,,,800.0,0,1975
709,VIETNAM (SOUTH),VNAF,1975-03-10,647822,SEADAB,CH-47,PHU CAT,,,,6,800.0,CARGO (TONS),,0,CH47,CH47,,,,280,47.0,COMBT CARGO CARRYING,0784,1,,D,241HS,,,SOUTH VIETNAM,,,,,UNIT: 241HS - CALLSIGN:,,27136221,NONKINETIC,-1,-1,,,,800.0,0,1975
730,KOREA (SOUTH),KAF,1975-02-19,647843,SEADAB,AC-47,PONCHENTONG,,,,0,200.0,,,0,AC47,AC47,,,,55,54.0,AIRBORNE ALERT,K028,1,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,27136242,NONKINETIC,-1,-1,,,,200.0,0,1975
951,KOREA (SOUTH),KAF,1975-04-08,648064,SEADAB,AC-47,PONCHENTONG,,,,0,200.0,,,0,AC47,AC47,,,,55,54.0,AIRBORNE ALERT,K025,1,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,27136463,NONKINETIC,-1,-1,,,,200.0,0,1975
961,VIETNAM (SOUTH),VNAF,1975-02-20,648074,SEADAB,O-1,BINH THUY,,,,0,800.0,,,0,O1,O1,,,,10,52.0,TRAINING,0780,1,,D,116LS,,,SOUTH VIETNAM,,,,,UNIT: 116LS - CALLSIGN:,,27136473,NONKINETIC,-1,-1,,,,800.0,0,1975
1118,VIETNAM (SOUTH),VNAF,1975-03-25,648231,SEADAB,A-37,DANANG,,,,0,800.0,,,0,A37,A37,,,,33,3.0,AIR INTERDICTION,0826,1,,D,516FS,,,SOUTH VIETNAM,,,,,UNIT: 516FS - CALLSIGN:,,27136630,KINETIC,-1,-1,,,,800.0,0,1975
1149,VIETNAM (SOUTH),VNAF,1975-02-06,648262,SEADAB,UH-1,DANANG,,,,0,800.0,,,0,UH1,UH1,,,,70,52.0,TRAINING,0711,1,,D,257HS,,,SOUTH VIETNAM,,,,,UNIT: 257HS - CALLSIGN:,,27136661,NONKINETIC,-1,-1,,,,800.0,0,1975
1158,KOREA (SOUTH),KAF,1975-03-08,648271,SEADAB,AU-24,PONCHENTONG,,,,0,200.0,,,0,AU24,AU24,,,,30,54.0,AIRBORNE ALERT,K016,1,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,27136670,NONKINETIC,-1,-1,,,,200.0,0,1975
1201,KOREA (SOUTH),KAF,1975-03-10,648314,SEADAB,AC-47,PONCHENTONG,,,,0,200.0,,,0,AC47,AC47,,,,55,54.0,AIRBORNE ALERT,K034,1,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,27136713,NONKINETIC,-1,-1,,,,200.0,0,1975
1286,VIETNAM (SOUTH),VNAF,1975-03-13,648399,SEADAB,UH-1,TAN SON NHUT,,,,0,800.0,,,0,UH1,UH1,,,,15,52.0,TRAINING,0729,1,,D,259GH,,,SOUTH VIETNAM,,,,,UNIT: 259GH - CALLSIGN:,,27136798,NONKINETIC,-1,-1,,,,800.0,0,1975
1504,VIETNAM (SOUTH),VNAF,1975-03-13,648617,SEADAB,A-37,BINH THUY,,,,52,800.0,MK 82 GP BOMB (500) LD,,500,A37,A37,,,,247,5.0,CLOSE AIR SUPPORT,0705,1,,D,546FS,,,SOUTH VIETNAM,,,,,UNIT: 546FS - CALLSIGN:,,27137016,KINETIC,-1,-1,,,,800.0,276120,1975
1518,UNITED STATES OF AMERICA,USAF,1975-06-09,648631,SEADAB,F-4,UDORN AB,,,,0,1.0,,,0,F4,F4,,,PAPA,480,98.0,FRIENDLY A/C DAM GND,3750,2,,D,432TFW,,,LAOS,,,,,UNIT: 432TFW - CALLSIGN: PAPA,,27137030,NONKINETIC,-1,-1,,,,1.0,0,1975
