THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT,Year
2168112,UNITED STATES OF AMERICA,USAF,10/1/67,1656244,CACTA6669,A-26,NAKHON PHANOM,17.255555,105.761111,CAVE,8,1026,250LB MK-81,,260,A26A,A26,,,,33,4,ARMED RECCE,JJ002,1,STEEL TIGER - STEEL TIGER,D,JALWR0,,NONE,LAOS,,171520N1054540E,DDMMSSN DDDMMSSE,0453HM,MISSION: SLAR - CONTROL_TYPE: NONE - RTCOR: RTE AREA E (OUT-OF-COUNTRY MISSIONS),WE,24671096,KINETIC,0,0,,,,1035,-1,1967
2168808,UNITED STATES OF AMERICA,USAF,10/1/67,1657119,CACTA6669,F-100,PHAN RANG,11.72931779,106.0914598,BASE,8,1719,750LB GP M-117,,799,F100D,F100,,,,0,5,CLOSE AIR SUPPORT,JL027,2,IN COUNTRY - COMBAT SKYSPO,N,JAJIS0,BROKEN,MSQ,SOUTH VIETNAM,,48PXT19259675,##ABC11112222,999,MISSION: VS10-289 - CONTROL_TYPE: MSQ - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XT,24671797,KINETIC,0,0,,,,1719,-1,1967
2169161,UNITED STATES OF AMERICA,USAF,10/1/67,1657571,CACTA6669,RF-4,TAN SON NHUT,16.95068876,106.9692427,AREA\DEPOT,0,0,,,0,RF4C,RF4,,,,22,16,INFRA-RED RECCE,JP038,1,IN COUNTRY,N,JAJQI0,BROKEN,,SOUTH VIETNAM,,48QYD1075,##ABC1122,0000CH,MISSION: VS0240 - CONTROL_TYPE:  - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),YE,24672150,NONKINETIC,0,0,,,,0,-1,1967
2172376,UNITED STATES OF AMERICA,USAF,10/1/67,1661628,CACTA6669,EC-47,NAH TRANG,,,,0,0,,,0,EC47N,EC47,,,,70,34,RADIO DIRECT FINDER,JK001,1,IN COUNTRY,D,JAMNM0,CLEAR,,,,,,,MISSION: VS9&0946 - CONTROL_TYPE:  - RTCOR:,,24675370,NONKINETIC,0,0,,,,0,-1,1967
2176569,UNITED STATES OF AMERICA,USAF,10/1/67,1666950,CACTA6669,F-100,PHU CAT,14.68152702,108.7299543,BUILDINGS,6,40,750LB GP M-117,,799,F100D,F100,,,,43,5,CLOSE AIR SUPPORT,JH801,3,IN COUNTRY - SOUTH VIETNAM,D,JAMOH0,,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBS559242,##ABC111222,0659N,MISSION: VS10-16 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BS,24679568,KINETIC,0,0,,,,55,-1,1967
2177522,UNITED STATES OF AMERICA,USAF,10/1/67,1668180,CACTA6669,EC-47,TAN SON NHUT,11.88710085,108.7016565,UNKNOWN\UNIDENTIFIED,0,305,,,0,EC47N,EC47,,,,72,54,AIRBORNE ALERT,JP047,1,IN COUNTRY,D,JANSO0,CLEAR,,SOUTH VIETNAM,,49PBP5015,##ABC1122,9999NL,MISSION: VS0700 - CONTROL_TYPE:  - RTCOR: CORPS AREA II (IN-COUNTRY MISSIONS) OR RTE AREA 2 (OUT-OF-COUNTRY MISSIONS),BN,24680522,NONKINETIC,0,0,,,,745,-1,1967
2180879,UNITED STATES OF AMERICA,USAF,10/1/67,1672422,CACTA6669,A-1,UDORN AB,19.6125,103.575833,TRUCK PARK\STOP,7,945,M-3,,50,A1E,A1,,,,0,4,ARMED RECCE,JS002,2,BARREL ROLL - BARREL ROLL,D,JAEWX0,UNDERCAST,PREBRIEFED TGT,LAOS,,193645N1033433E,DDMMSSN DDDMMSSE,,MISSION: BR1039 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: RTE AREA C (OUT-OF-COUNTRY MISSIONS),UG,24683886,KINETIC,0,0,,,,952,-1,1967
2180904,UNITED STATES OF AMERICA,USMC,10/1/67,1672448,CACTA6669,A-4,CHU LAI,16.87562576,106.9759709,BUILDINGS,6,1525,500LB GP MK-82,,500,A4E,A4,,,,12,6,DIRECT AIR SUPPORT,ME008,1,IN COUNTRY,N,M01223,CLEAR,TPQ-10,SOUTH VIETNAM,,48QYD10806670,##ABC11112222,1709,MISSION: VS1001088 - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),VC,24683911,KINETIC,0,0,,,,1535,-1,1967
2183633,UNITED STATES OF AMERICA,USN,10/1/67,1675963,CACTA6669,F-4,WESTPAC 64,19.129166,105.7075,WATER VEHICLES,0,515,,,0,F4B,F4,,,,34,4,ARMED RECCE,C0002,2,ROLLING THUN - ROLLING THUND,D,N09281,CLEAR,PREBRIEFED TGT,NORTH VIETNAM,,190745N1054227E,DDMMSSN DDDMMSSE,0909N,MISSION: RT57C - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),WG,24686645,KINETIC,0,0,,,,515,-1,1967
2183928,VIETNAM (SOUTH),VNAF,10/1/67,1676340,CACTA6669,A-1,DANANG,15.16924127,108.8932367,BUILDINGS,22,15,500LB GP M-64,,561,A1H,A1,,,,132,3,AIR INTERDICTION,VY003,6,IN COUNTRY - SV,D,V50020,BROKEN,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBS740780,##ABC111222,0104CM,MISSION: VS1394 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BS,24686940,KINETIC,0,0,,,,230,-1,1967
